lambda_list,lambda_length,lambda_conjugate,lambda_durfee,lambda_area,lambda_frobenius,lambda_lattice,mu_list,mu_length,mu_conjugate,mu_durfee,mu_area,mu_frobenius,mu_lattice,nu_list,nu_length,nu_conjugate,nu_durfee,nu_area,nu_frobenius,nu_lattice,lr_coefficient
"0,0,0",0,,0,0,,0000111,"0,0,0",0,,0,0,,0000111,"0,0,0",0,,0,0,,0000111,1
"1,0,0",1,1,1,1,,0001011,"0,0,0",0,,0,0,,0000111,"1,0,0",1,1,1,1,,0001011,1
"1,0,0",1,1,1,1,,0001011,"1,0,0",1,1,1,1,,0001011,"0,0,0",0,,0,0,,0000111,1
"2,0,0",1,"1,1",1,2,,0010011,"0,0,0",0,,0,0,,0000111,"2,0,0",1,"1,1",1,2,,0010011,1
"2,0,0",1,"1,1",1,2,,0010011,"0,0,0",0,,0,0,,0000111,"1,1,0",2,2,1,2,,0001101,0
"2,0,0",1,"1,1",1,2,,0010011,"1,0,0",1,1,1,1,,0001011,"1,0,0",1,1,1,1,,0001011,1
"2,0,0",1,"1,1",1,2,,0010011,"2,0,0",1,"1,1",1,2,,0010011,"0,0,0",0,,0,0,,0000111,1
"2,0,0",1,"1,1",1,2,,0010011,"1,1,0",2,2,1,2,,0001101,"0,0,0",0,,0,0,,0000111,0
"1,1,0",2,2,1,2,,0001101,"0,0,0",0,,0,0,,0000111,"2,0,0",1,"1,1",1,2,,0010011,0
"1,1,0",2,2,1,2,,0001101,"0,0,0",0,,0,0,,0000111,"1,1,0",2,2,1,2,,0001101,1
"1,1,0",2,2,1,2,,0001101,"1,0,0",1,1,1,1,,0001011,"1,0,0",1,1,1,1,,0001011,1
"1,1,0",2,2,1,2,,0001101,"2,0,0",1,"1,1",1,2,,0010011,"0,0,0",0,,0,0,,0000111,0
"1,1,0",2,2,1,2,,0001101,"1,1,0",2,2,1,2,,0001101,"0,0,0",0,,0,0,,0000111,1
"3,0,0",1,"1,1,1",1,3,,0100011,"0,0,0",0,,0,0,,0000111,"3,0,0",1,"1,1,1",1,3,,0100011,1
"3,0,0",1,"1,1,1",1,3,,0100011,"0,0,0",0,,0,0,,0000111,"2,1,0",2,"2,1",1,3,,0010101,0
"3,0,0",1,"1,1,1",1,3,,0100011,"0,0,0",0,,0,0,,0000111,"1,1,1",3,3,1,3,,0001110,0
"3,0,0",1,"1,1,1",1,3,,0100011,"1,0,0",1,1,1,1,,0001011,"2,0,0",1,"1,1",1,2,,0010011,1
"3,0,0",1,"1,1,1",1,3,,0100011,"1,0,0",1,1,1,1,,0001011,"1,1,0",2,2,1,2,,0001101,0
"3,0,0",1,"1,1,1",1,3,,0100011,"2,0,0",1,"1,1",1,2,,0010011,"1,0,0",1,1,1,1,,0001011,1
"3,0,0",1,"1,1,1",1,3,,0100011,"1,1,0",2,2,1,2,,0001101,"1,0,0",1,1,1,1,,0001011,0
"3,0,0",1,"1,1,1",1,3,,0100011,"3,0,0",1,"1,1,1",1,3,,0100011,"0,0,0",0,,0,0,,0000111,1
"3,0,0",1,"1,1,1",1,3,,0100011,"2,1,0",2,"2,1",1,3,,0010101,"0,0,0",0,,0,0,,0000111,0
"3,0,0",1,"1,1,1",1,3,,0100011,"1,1,1",3,3,1,3,,0001110,"0,0,0",0,,0,0,,0000111,0
"2,1,0",2,"2,1",1,3,,0010101,"0,0,0",0,,0,0,,0000111,"3,0,0",1,"1,1,1",1,3,,0100011,0
